"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Dr Jekyll & Mr Hyde","Strange case of Dr. Jekyll and Mr. Hyde","016813616","Monograph","Language material ; Text","Volume","GBB479861","","9780099593874","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Vintage magic","","England","London","Vintage Classic","2014","","239 pages, 18 cm","823.8","H.2016/.5085","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Holmes","Strange case of Dr Jekyll and Mr Hyde","009439783","Monograph","Language material ; Text","Volume","GBA1W2331","","9780743423922","Estleman, Loren D.","","person","author","Estleman, Loren D., author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","A Sherlock Holmes mystery","","England ; United States of America","London ; New York","Simon & Schuster ; ibooks","2001","","xix, 203 pages, 21 cm","813.54","H.2003/1462","Physicians--England--London--Fiction ; Holmes, Sherlock--Fiction ; Good and evil--Fiction ; Watson, John H, (Fictitious character)--Fiction ; Multiple personality--Fiction ; Murder--Investigation--England--London--Fiction ; Stevenson, Robert Louis, 1850-1894","Detective and mystery fiction ; Fiction","English","reprinted with new afterword. _ Originally published: Garden City, N.Y. : Doubleday, 1979",""
"Dr Jekyll and Mr Hyde : &, The Suicide Club","Novels. Selections ; Strange case of Dr. Jekyll and Mr. Hyde ; Suicide Club ; The Suicide Club","007360129","Monograph","Language material ; Text","Volume","GB7910549","","9780216885189","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Chosen classics","","England","London","Blackie","1979","","191 pages, illustrations, 21 cm","823.8","Nov.38298","Jekyll, Henry, (Fictitious character)--Fiction ; Fiction in English ; Fiction in English--1837-1900--Texts ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","This collection originally published: 1961",""
"Dr Jekyll and Mr Hyde : AQA GCSE English literature","","018406301","Monograph","Language material ; Text","Volume","GBB7B1824","","9780008247102","Kirby, Ian","1977-","person","author","Kirby, Ian, 1977-, author [person]","Collins snap revision ; Collins snap revision text guide","","England","London","Collins","2017","","80 pages, black and white illustrations, 21 cm","823.8","YKL.2018.a.19832","English literature--Examinations--Study guides ; Stevenson, Robert Louis, 1850-1894","Study guide","English","",""
"Dr Jekyll and Mr Hyde : GCSE 9-1 English literature for AQA. Snap revision workbook","","019452371","Monograph","Language material ; Text","Volume","GBB9B5273","","9780008355296","","","","","","Collins GCSE 9-1 snap revision","","England","London","Collins","2019","","80 pages, 30 cm","823.8","","English literature--Examinations--Study guides ; Stevenson, Robert Louis, 1850-1894","Study guide","English","",""
"Dr Jekyll and Mr Hyde : GCSE 9-1 English literature for Edexcel","","019280042","Monograph","Language material ; Text","Volume","GBB940544","","9780008353032","","","","","","Collins GCSE 9-1 snap revision","","England","London","Collins","2019","","80 pages, 21 cm","823.8","","English literature--Examinations--Study guides ; Stevenson, Robert Louis, 1850-1894","Study guide","English","",""
"Dr Jekyll and Mr Hyde : a new version of the novel by Robert Louis Stevenson","Strange case of Dr Jekyll and Mr Hyde","012045476","Monograph","Language material ; Text","Volume","GB9753867","","9781854592972","Edgar, David","1948-","person","author","Stevenson, Robert Louis, 1850-1894 [person] ; Edgar, David, 1948-, author [person]","","","England","London","Nick Hern","1996","New edition","84 pages, 20 cm","822.914","YK.2003.a.14301","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","Previous edition, 1992",""
"Dr Jekyll and Mr Hyde : a play","Strange case of Dr. Jekyll and Mr. Hyde","013760227","Monograph","Language material ; Text","Volume","GBA742576","","9781405856874","Edgar, David","1948-","person","author","Stevenson, Robert Louis, 1850-1894 [person] ; Edgar, David, 1948-, author [person]","Longman school drama","","England","Harlow","Pearson","2007","","volumes, 137 pages, 21 cm","822.914","YK.2008.a.13691","Stevenson, Robert Louis, 1850-1894--Adaptations","Adaptation","English","Originally published: London, Nick Hern, 1992",""
"Dr Jekyll and Mr Hyde : and other stories","Doctor Jekyll and Mr Hyde","013006759","Monograph","Language material ; Text","Volume","GBA589455","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Great reads","","England","London","Planet Three","2004","","171 pages, 21 cm","823.8","YK.2005.a.14694","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde : and, The Suicide Club","Strange case of Dr. Jekyll and Mr. Hyde ; Suicide Club","009015974","Monograph","Language material ; Text","Volume","GB6607853","","","McFarlan, Donald M. (Donald Maitland)","","person","author","McFarlan, Donald M. (Donald Maitland), author [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Hart, Dick, illustrator [person]","Streamline books","","England","London","Nelson","1966","","90 pages, illustrations, 19 cm","428.6","X.908/7730","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde : and, The Suicide Club","Strange case of Dr. Jekyll and Mr. Hyde ; Suicide Club","011938041","Monograph","Language material ; Text","Volume","GB7716843","","9780175552078","McFarlan, Donald M. (Donald Maitland)","","person","author","McFarlan, Donald M. (Donald Maitland), author [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Streamline books","","England","Sunbury-on-Thames","Nelson","1977","","6, 90 pages, illustrations, 19 cm","428.64","X.990/8816","English language--For non-English speaking students--Texts ; Hyde, Edward, (Fictitious character)--Fiction ; Readers--1950- ; English language--Text-books for foreign speakers ; Jekyll, Henry, (Fictitious character)--Fiction","Fiction","English","These adaptations originally published: 1966",""
"Dr Jekyll and Mr Hyde : notes","Strange case of Dr. Jekyll and Mr. Hyde","010702827","Monograph","Language material ; Text","Volume","GB8133687","","9780582781573","Campbell, Ian","1942-","person","author","Stevenson, Robert Louis, 1850-1894 [person] ; Campbell, Ian, 1942-, author [person]","York notes","132 [York notes]","England","Harlow","Longman","1981","","64 pages, 21 cm","823.8","X.950/6882","Fiction in English--Stevenson, Robert Louis ; Stevenson, Robert Louis, 1850-1894","","English","",""
"Dr Jekyll and Mr Hyde : the Merry Men and other stories","Works. Selections","012033047","Monograph","Language material ; Text","Volume","GB9402348","","9781853260612","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","Ware","Wordsworth","1993","","244 pages","823.8","H.94/383","Jekyll, Henry--Fiction ; English fiction ; Hyde, Edward--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde after one hundred years","","007367331","Monograph","Language material ; Text","Volume","GB8934061","","9780226852287 ; 9780226852294","","","","","Hirsch, Gordon [person] ; Veeder, William [person]","","","England ; United States of America","Chicago ; London","University of Chicago","1988","","xx, 312 pages, illustrations, portraits, 24 cm","823.8","88/20027 ; YH.1989.b.318","Fiction in English--Stevenson, Robert Louis--1850-1894 ; Stevenson, Robert Louis, 1850-1894","","English","",""
"Dr Jekyll and Mr Hyde and other stories","Short stories. Selections","013772243","Monograph","Language material ; Text","Volume","GBA746873","","9780099511588","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Vintage classics","","England","London","Vintage","2007","","239 pages, 20 cm","823.8","H.2008/619","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde and other stories","Short stories. Selections","018525128","Monograph","Language material ; Text","Online resource","GBB819690","","9781407019482 ; 9781407019499","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","Vintage classics","","England","London","Random House","2008","","","823.8","ELD.DS.192065","Horror tales ; England--Social conditions--19th century--Fiction ; England--London ; Physicians ; Allegories ; London (England)--Fiction ; Paranormal fiction ; Physicians--Fiction","Fiction","English","Title from eBook information screen",""
"Dr Jekyll and Mr Hyde and other stories","Works. Selections","008322599","Monograph","Language material ; Text","Volume","GB5316087","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England ; Scotland","Glasgow ; London","Collins","1953","","479 pages, illustrations, 19 cm","823.8","12652.aa.2","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde and other stories","Works. Selections","012596148","Monograph","Language material ; Text","Volume","GB9422760","","9780195854299","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Oxford progressive English readers. Grade 4","","England ; Hong Kong","Oxford","Oxford University Press","1992","","105 pages, illustrations, 21 cm","428.64","H.94/845","English language--Reading books","","English","",""
"Dr Jekyll and Mr Hyde and other strange tales","","015262075","Monograph","Language material ; Text","Volume","GBA950300","","9781848373280","Stevenson, Robert Louis","1850-1894","person","","Stevenson, Robert Louis, 1850-1894 [person]","Arcturus classics","","England","London","Arcturus","2009","","1 volume, 20 cm","823.8","","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde by Robert Louis Stevenson","Strange case of Dr. Jekyll and Mr. Hyde","010056151","Monograph","Language material ; Text","Volume","GB8722859","","9780333433447","Holt, Ronald","1932-","person","author","Stevenson, Robert Louis, 1850-1894 [person] ; Holt, Ronald, 1932-, author [person]","Stories to remember. Senior series","","England","London","Macmillan","1986","","67 pages, 19 cm","428.64","YC.1987.a.5598","English language--For non-English speaking students--Texts ; Hyde, Edward, (Fictitious character)--Fiction ; Readers--1950- ; English language--Text-books for foreign speakers ; Jekyll, Henry, (Fictitious character)--Fiction","Fiction","English","",""
"Dr Jekyll and Mr Hyde","","005602048","Monograph","Language material ; Text","Volume","GBA3X7877","","9780340871638","Page, Philip","1945-","person","","Page, Philip, 1945- [person] ; Pettit, Marilyn [person] ; Basic Skills Agency [organisation]","Livewire graphics","","England","London","Hodder & Stoughton","2003","","64 pages, illustrations, 30 cm","823.8","","Stevenson, Robert Louis, 1850-1894--Study and teaching (Secondary)--Great Britain","","English","Published in association with the Basic Skills Agency",""
"Dr Jekyll and Mr Hyde","","013746890","Monograph","Language material ; Text","Volume","GBA737727","","9781405072656","Colbourn, Stephen","","person","","Colbourn, Stephen [person] ; Stevenson, Robert Louis, 1850-1894 [person]","Macmillan readers. Elementary level","","England","Oxford","","2007","","1 volume, illustrations, 20 cm","428.64","","Good and evil--Fiction ; Multiple personality--Fiction","Fiction ; Horror ; Reader","English","",""
"Dr Jekyll and Mr Hyde","","014056791","Monograph","Language material ; Text","Volume","GBA781233","","9780237535476","Francis, Pauline","","person","","Stevenson, Robert Louis, 1850-1894 [person] ; Francis, Pauline [person]","Fast track classics","","England","London","Evans","2007","Abridged edition, retold by Pauline Francis","1 volume","823.92","","Physicians--England--London--Juvenile fiction ; Good and evil--Juvenile fiction","Children's fiction ; Horror","English","This edition originally published: 2001",""
"Dr Jekyll and Mr Hyde","","014465366","Monograph","Language material ; Text","Volume","GBB157889","","9780901291738","Murray, Gill","","person","author","Murray, Gill, author [person] ; National Association for the Teaching of English [organisation]","NATE classic reading","","England","Sheffield","NATE","2000","","41 pages, illustrations, maps, 30 cm","823.8","YK.2011.b.6231","Stevenson, Robert Louis, 1850-1894","","English","",""
"Dr Jekyll and Mr Hyde","","015347451","Monograph","Language material ; Text","Volume","GBA979667","","9781597071710","Snyder, John K.","1961-","person","","Stevenson, Robert Louis, 1850-1894 [person] ; Snyder, John K., 1961- [person]","Classics illustrated","7 [Classics illustrated]","England ; United States of America","Godalming ; New York","Melia ; Papercutz","2009","","1 volume, chiefly colour illustrations, 23 cm","741.5","","Physicians--Comic books, strips, etc--Juvenile fiction ; Good and evil--Comic books, strips, etc--Juvenile fiction ; Multiple personality--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Horror","English","",""
"Dr Jekyll and Mr Hyde","","016424705","Monograph","Language material ; Text","Volume","GBB353263","","9781783220601","Francis, Pauline","","person","author","Stevenson, Robert Louis, 1850-1894 [person] ; Francis, Pauline, author [person]","Essential classics","","England","Twickenham","ReadZone","2010","","1 volume, 21 cm","823.92","","Physicians--England--London--Juvenile fiction ; Good and evil--Juvenile fiction ; Jekyll, Henry, (Fictitious character)--Juvenile fiction ; Hyde, Edward, (Fictitious character)--Juvenile fiction","Children's fiction ; Horror","English","Originally published: London: Evans, 2010",""
"Dr Jekyll and Mr Hyde","","016990934","Monograph","Language material ; Text","Volume","GBB4F3215","","9781444822571","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","Leicester","Ulverscroft","2015","","1 volume (large print), 23 cm","823.8","","Jekyll, Henry, (Fictitious character)--Fiction ; Hyde, Edward, (Fictitious character)--Fiction","Fiction ; Horror ; Large print","English","",""
